,asteroid_full_name,asteroid_id,asteroid_tisserand,cycler_orbit_index,cycler_orbit_tisserand,delta_tisserand
36417,       (2009 VS),bK09V00S,2.85225497305,10,2.85225723988,2.2668316535e-06
38565,  4581 Asclepius (1989 FC),a0004581,2.86010156777,11,2.86006511611,3.64516608178e-05
39169,       (2003 UX26),bK03U26X,2.86001363684,11,2.86006511611,5.1479265486e-05
38861,408792 (2000 GF2),a0408792,2.86012052712,11,2.86006511611,5.54110072617e-05
40654,       (2012 SJ58),bK12S58J,2.86000625146,11,2.86006511611,5.88646466029e-05
40414,       (2011 TJ5),bK11T05J,2.86019940005,11,2.86006511611,0.000134283938858
41799,       (2015 XT128),bK15XC8T,2.8602392349,11,2.86006511611,0.000174118791127
36081,       (2007 XA10),bK07X10A,2.85207128287,10,2.85225723988,0.000185957013644
40640,       (2012 QG49),bK12Q49G,2.8603407916,11,2.86006511611,0.000275675488003
39792,       (2009 CG),bK09C00G,2.86036314616,11,2.86006511611,0.000298030053827
34531,       (2015 GZ12),bK15G12Z,2.77781942299,9,2.77813056648,0.000311143483049
40491,       (2012 BX1),bK12B01X,2.85975150194,11,2.86006511611,0.000313614174053
41674,       (2015 RV36),bK15R36V,2.85972724615,11,2.86006511611,0.000337869959725
36776,       (2011 BU59),bK11B59U,2.85262650893,10,2.85225723988,0.000369269051904
34743,       (2015 VE65),bK15V65E,2.77775189799,9,2.77813056648,0.000378668491844
42036,       (2016 GF134),bK16GD4F,2.859674857,11,2.86006511611,0.00039025911006
31809,363024 (1998 OK1),a0363024,2.77862910246,9,2.77813056648,0.000498535981838
41102,       (2014 HD124),bK14HC4D,2.86057511982,11,2.86006511611,0.000510003707236
33592,       (2012 KA),bK12K00A,2.77760458525,9,2.77813056648,0.000525981232911
40576,       (2012 FU62),bK12F62U,2.85950634129,11,2.86006511611,0.000558774819604
41488,       (2015 DV215),bK15DL5V,2.86065517599,11,2.86006511611,0.000590059877137
33262,       (2011 BH39),bK11B39H,2.77872992931,9,2.77813056648,0.000599362834327
36779,       (2011 CY3),bK11C03Y,2.85292787015,10,2.85225723988,0.000670630271388
35179,163818 (2003 RX7),a0163818,2.85296085325,10,2.85225723988,0.00070361336499
39790,       (2009 BD77),bK09B77D,2.8593398826,11,2.86006511611,0.00072523350654
39795,       (2009 CS1),bK09C01S,2.86085166809,11,2.86006511611,0.000786551983535
38418,       (2016 CM194),bK16CJ4M,2.85145826875,10,2.85225723988,0.000798971131292
41205,       (2014 MK27),bK14M27K,2.8592263856,11,2.86006511611,0.000838730513451
36314,       (2009 EF1),bK09E01F,2.85312488355,10,2.85225723988,0.000867643671943
38521,       (2016 GV1),bK16G01V,2.85137977769,10,2.85225723988,0.000877462195648
31838,390522 (1996 GD1),a0390522,2.77724567853,9,2.77813056648,0.000884887952939
40317,       (2011 EM40),bK11E40M,2.8609545692,11,2.86006511611,0.000889453095592
38195,       (2015 TG),bK15T00G,2.8513661673,10,2.85225723988,0.000891072578928
39930,       (2009 WF),bK09W00F,2.86100497547,11,2.86006511611,0.000939859356552
42031,       (2016 GX2),bK16G02X,2.85912329867,11,2.86006511611,0.000941817436944
39286,       (2005 GD60),bK05G60D,2.85909069115,11,2.86006511611,0.000974424960013
35485,       (1998 MW5),bJ98M05W,2.85123636878,10,2.85225723988,0.00102087109899
38824,367248 (2007 MK13),a0367248,2.86110141486,11,2.86006511611,0.00103629874741
38653,152671 (1998 HL3),a0152671,2.86115322745,11,2.86006511611,0.00108811133879
39605,       (2008 CQ),bK08C00Q,2.85895293535,11,2.86006511611,0.00111218075892
40404,       (2011 SC25),bK11S25C,2.85895128321,11,2.86006511611,0.00111383289616
36062,       (2007 VC3),bK07V03C,2.85113062762,10,2.85225723988,0.00112661226421
37299,       (2013 EY27),bK13E27Y,2.85111340756,10,2.85225723988,0.00114383232716
32558,       (2007 VS6),bK07V06S,2.77930186336,9,2.77813056648,0.00117129687823
36815,       (2011 EJ47),bK11E47J,2.85344614116,10,2.85225723988,0.0011889012785
37143,       (2012 SG32),bK12S32G,2.85351275784,10,2.85225723988,0.00125551796098
40451,       (2011 WL2),bK11W02L,2.85878121043,11,2.86006511611,0.00128390567581
35474,       (1996 TD9),bJ96T09D,2.85358416409,10,2.85225723988,0.00132692420277
41072,       (2014 FV32),bK14F32V,2.85870998889,11,2.86006511611,0.00135512722408
37464,       (2013 VG13),bK13V13G,2.85083506049,10,2.85225723988,0.00142217939754
41549,       (2015 HM1),bK15H01M,2.86153809149,11,2.86006511611,0.00147297537595
40023,       (2010 FX9),bK10F09X,2.85853964084,11,2.86006511611,0.00152547526953
33323,       (2011 FC29),bK11F29C,2.77969169609,9,2.77813056648,0.00156112961308
41440,       (2015 BN311),bK15BV1N,2.86163161951,11,2.86006511611,0.00156650340243
35381,420591 (2012 HF31),a0420591,2.85068853563,10,2.85225723988,0.00156870425775
39452,       (2006 UE64),bK06U64E,2.85849033269,11,2.86006511611,0.00157478341644
37832,       (2014 UL175),bK14UH5L,2.85067234292,10,2.85225723988,0.00158489696657
37088,       (2012 HH20),bK12H20H,2.85059222948,10,2.85225723988,0.00166501039999
41425,       (2015 BF),bK15B00F,2.85836824933,11,2.86006511611,0.00169686678184
36274,       (2009 BE),bK09B00E,2.8505516506,10,2.85225723988,0.00170558928293
35074, 13651 (1997 BR),a0013651,2.85054611274,10,2.85225723988,0.00171112714101
37907,       (2015 AF44),bK15A44F,2.85053467657,10,2.85225723988,0.0017225633134
38081,       (2015 JD1),bK15J01D,2.85398090411,10,2.85225723988,0.00172366422375
38283,       (2015 XZ1),bK15X01Z,2.85053006146,10,2.85225723988,0.00172717841948
37073,       (2012 GE),bK12G00E,2.85400943406,10,2.85225723988,0.00175219417995
32085,       (2002 JD9),bK02J09D,2.77988583264,9,2.77813056648,0.00175526616644
41426,       (2015 BQ),bK15B00Q,2.85830587325,11,2.86006511611,0.00175924286417
39100,       (2002 LR24),bK02L24R,2.85829306683,11,2.86006511611,0.00177204928342
36370,       (2009 SL),bK09S00L,2.85403103158,10,2.85225723988,0.00177379170077
40962,       (2013 VQ4),bK13V04Q,2.86187455654,11,2.86006511611,0.00180944043414
36526,       (2010 GL23),bK10G23L,2.85044278418,10,2.85225723988,0.0018144557017
36075,       (2007 WJ3),bK07W03J,2.8540730311,10,2.85225723988,0.00181579121512
40963,       (2013 VW4),bK13V04W,2.86195654906,11,2.86006511611,0.00189143295562
35550,       (2001 ND13),bK01N13D,2.85033943018,10,2.85225723988,0.00191780970499
37609,       (2014 HR184),bK14HI4R,2.8542025199,10,2.85225723988,0.0019452800163
40645,       (2012 SZ2),bK12S02Z,2.86204865254,11,2.86006511611,0.001983536434
35630,       (2003 DH6),bK03D06H,2.85429334147,10,2.85225723988,0.0020361015917
31830,380476 (2003 YO1),a0380476,2.77608826271,9,2.77813056648,0.00204230376523
37558,       (2014 EH24),bK14E24H,2.85431738819,10,2.85225723988,0.00206014830212
35745,       (2004 VB),bK04V00B,2.85018780784,10,2.85225723988,0.00206943203914
36024,       (2007 NL1),bK07N01L,2.85017817398,10,2.85225723988,0.00207906590716
37669,       (2014 JW79),bK14J79W,2.85014798507,10,2.85225723988,0.0021092548126
37303,       (2013 EH89),bK13E89H,2.85014751087,10,2.85225723988,0.00210972901545
40184,       (2010 VR),bK10V00R,2.86217956722,11,2.86006511611,0.00211445111481
35945,       (2006 UE17),bK06U17E,2.85013982509,10,2.85225723988,0.00211741478995
36437,       (2009 WV25),bK09W25V,2.85441684606,10,2.85225723988,0.00215960617497
40904,       (2013 RO9),bK13R09O,2.86226326123,11,2.86006511611,0.00219814511992
35738,       (2004 TP1),bK04T01P,2.85004730569,10,2.85225723988,0.00220993419234
37463,       (2013 VA12),bK13V12A,2.85447446759,10,2.85225723988,0.00221722770892
40454,       (2011 WP4),bK11W04P,2.8578358462,11,2.86006511611,0.00222926990976
34943,       (2016 EB1),bK16E01B,2.78037511949,9,2.77813056648,0.00224455301348
41162,       (2014 JY30),bK14J30Y,2.85780431356,11,2.86006511611,0.00226080255036
39147,       (2003 MS2),bK03M02S,2.86245653775,11,2.86006511611,0.00239142164379
38006,       (2015 FK35),bK15F35K,2.84985166528,10,2.85225723988,0.00240557460761
38738,264993 (2003 DX10),a0264993,2.86249394388,11,2.86006511611,0.00242882777452
40474,       (2011 YC40),bK11Y40C,2.85762619691,11,2.86006511611,0.00243891919439
37075,       (2012 GC2),bK12G02C,2.8497705325,10,2.85225723988,0.0024867073875
40048,       (2010 HG20),bK10H20G,2.85755565631,11,2.86006511611,0.00250945980352
35254,303262 (2004 RJ84),a0303262,2.84968233018,10,2.85225723988,0.00257490970103
37288,       (2013 ET),bK13E00T,2.84962083159,10,2.85225723988,0.00263640828833
